run_name,conv_channels,mlp_layers,width,height,mean_random_reward,mean_nearest_reward,mean_learned_reward
Centralized,16-32,4,12,12,0.0,0.0,0.0
Centralized,16-32,4,12,12,0.0,0.0,0.0
Centralized,16-32,4,12,12,0.0,0.0,0.0
Centralized,16-32,4,4,4,0.0,0.0,0.0
Centralized,16-32,4,4,4,0.0,0.0,0.0
Centralized,16-32,4,4,4,0.49,0.98,0.52
Centralized,16-32,4,4,4,0.19,0.4,0.01
Centralized,16-32,4,4,4,0.14,0.31,0.04
Centralized,16-32,4,4,4,0.15,0.35,0.11
Centralized,16-32,4,4,4,0.11,0.37,0.06
Centralized,16-32,4,4,4,0.09,0.34,0.25
Centralized,16-32,4,4,4,0.16,0.34,0.07
Centralized,16-32,4,4,4,0.16,0.42,0.15
Centralized,16-32,4,4,4,0.12,0.43,0.08
Centralized,16-32,4,4,4,0.05,0.34,0.15
