run_name,num_agents,width,height,kernel_size,conv_channels,mlp_features,mlp_layers,learning_rate,mean_random_reward,mean_nearest_reward,mean_learned_reward
Decentralized,2,6,6,3,1,1,1,2e-05,0.15816,0.56564,0.00018
Decentralized,2,6,6,1,1,1,0,2e-05,0.15934,0.56478,0.25528
Decentralized,2,6,6,3,4,8,1,2e-05,0.15836,0.56596,0.2623
Decentralized,2,6,6,1,1,1,1,2e-05,0.15936,0.5656,0.0
Decentralized,2,6,6,3,8-16,32,2,2e-05,0.1551,0.56802,0.05376
Centralized,2,6,6,1,1,1,0,2e-05,0.15774,0.56856,0.0151
Centralized,2,6,6,1,1,1,1,2e-05,0.15754,0.56536,4e-05
Centralized,2,6,6,3,1,1,1,2e-05,0.15674,0.5637,0.29098
Decentralized,2,6,6,3,16-32-32,128,2,2e-05,0.15876,0.56476,0.0372
Decentralized,2,6,6,3,32-64-64,128,2,2e-05,0.15548,0.56332,0.046
Centralized,2,6,6,3,32-64-64,128,2,2e-05,0.15528,0.56636,0.59578
Centralized,2,6,6,3,4,8,1,2e-05,0.15678,0.56444,0.44412
Centralized,2,6,6,3,8-16,32,2,2e-05,0.15596,0.56728,0.57754
Centralized,2,6,6,3,16-32-32,128,2,2e-05,0.15876,0.56332,0.5952
